YYYYMMDD,PRECIPITATION,MEAN TEMP
20150130,0,53.5
20150131,0,49.5
20150201,0,56
20150202,0.02,54.5
20150203,0,45
20150204,0.24,53
20150205,0.35,52.5
20150206,0,49.5
20150207,0,51
20150208,0,56.5
20150209,0.02,56.5
20150210,0,53
20150211,0,51.5
20150212,0,55
20150213,0,43
20150214,0,45
20150215,0,57.5
20150216,0,58
20150217,1.08,55.5
20150218,0.02,46
20150219,0,36
20150220,0,37.5
20150221,0,51
20150222,0,63.5
20150223,0.14,65.5
20150224,0.00001,59
20150225,0.00001,60.5
20150226,0.04,60.5
20150227,0,51.5
20150228,0.11,54
20150301,0.11,63.5
20150302,0,69.5
20150303,0,72
20150304,0,71.5
20150305,0.00001,72
20150306,0.00001,56
20150307,0,56
20150308,0,57.5
20150309,0,64
20150310,0,71
20150311,0.00001,73.5
20150312,0.05,74.5
20150313,0.00001,75
20150314,0.00001,75
20150315,0,71.5
20150316,0,68.5
20150317,0,69
20150318,0,71
20150319,0.17,71
20150320,0,72.5
20150321,0,72
20150322,0.00001,73.5
20150323,0.42,70
20150324,0,64
20150325,0,68.5
20150326,0.2,69
20150327,0.22,61.5
20150328,0,53.5
20150329,0,52.5
20150330,0,58.5
20150331,0,69
20150401,0,73.5
20150402,0,70
20150403,0,72
20150404,0.48,70.5
20150405,0,69.5
20150406,0.00001,72.5
20150407,0.00001,73
20150408,0,74.5
20150409,0,73.5
20150410,0,76
20150411,0.2,72.5
20150412,0.04,74.5
20150413,0.37,73.5
20150414,0.05,76
20150415,0.12,76
20150416,0.00001,71
20150417,0.00001,69.5
20150418,0,76.5
20150419,0.04,76.5
20150420,0.15,70.5
20150421,0,71.5
20150422,0,71
20150423,0.24,72.5
20150424,0,73
20150425,0.27,73.5
20150426,0.88,78.5
20150427,0.12,73
20150428,0.00001,71
20150429,0.26,73.5
20150430,0,68
20150501,0,65
20150502,0,63
20150503,0,65
20150504,0,66.5
20150505,0.15,70
20150506,0.00001,71.5
20150507,0,72.5
20150508,0,72.5
20150509,0,74.5
20150510,0,77.5
20150511,0.00001,77.5
20150512,0.97,78
20150513,0.69,79
20150514,0.72,77.5
20150515,0.00001,76
20150516,0,75
20150517,0,76.5
20150518,0.00001,79.5
20150519,0,79.5
20150520,0.00001,79
20150521,0,81
20150522,0,78.5
20150523,0,77.5
20150524,0,77.5
20150525,0,81.5
20150526,0.01,81
20150527,0.00001,79.5
20150528,0,75.5
20150529,0,76.5
20150530,0,76.5
20150531,0,79
20150601,0.47,79.5
20150602,0.18,74
20150603,0.00001,77.5
20150604,0.00001,79.5
20150605,0.22,78.5
20150606,0.03,78
20150607,0,77.5
20150608,0.07,79
20150609,0,80.5
